SYMBOL,logFC,pVal,pAdj,sdSF,sdGC
PWWP2A,-0.028389638,0.884244207406884,0.9585887796706,79.26844,48.98928
MYLK4,0.0271614735250651,0.98737063683278,0.996792962853236,18.88301,14.75037
KCTD21,-0.861568282,0.473820338764548,0.761019405654885,9.529928,16.177555
NAPEPLD,-0.156653591,0.850144810973344,0.944830828422526,14.84688,10.5619
SFT2D3,0.240654552863914,0.470372263246516,0.758429640423912,41.02645,21.62792
TST,0.283768072732206,0.327320265487651,0.649867283380695,62.43242,46.78165
SHLD1,0.587148310896685,0.227329763627714,0.548010161442282,41.80076,25.09539
FZD5,-0.722738865,0.149375324193942,0.446927087885449,5.918561,17.108623
CETN4,0.649047346491659,0.427487323889235,0.729829401188326,11.919177,6.691572
PRKCE,0.523775118259776,0.346508170705713,0.668040461890638,23.65141,25.6077
MEGF8,0.141270448610628,0.838758538181166,0.94098899629568,20.9437,13.98779
LRFN4,0.217906179414267,0.856152787730155,0.946829927780348,9.629971,7.1824
E130308A19RIK,-0.215131226,0.542385428520677,0.802933699412017,53.10024,43.8969
RNF216,0.162075449684524,0.701885329859469,0.884975186893538,63.97923,44.97897
S1PR1,0.385553650732056,0.199339745033649,0.515026796698323,49.47426,40.54795
MAGI1|4930511A08RIK,1.03120981517337,0.134491019496854,0.423943203596185,22.40843,13.86354
KMT5B,0.0893213625701967,0.624464932514294,0.845855822162497,78.90693,150.70923
SLC25A26,0.723760686566738,0.107879212970668,0.380326920554663,24.776284,7.268313
POLN,2.10583957370556,0.0179836610075566,0.131636362971161,101.31323,37.56885
DMD,1.76612354083832,0.00140988232919551,0.022433463036803,30.58029,13.50562
CCDC73,0.768110024466666,0.353661307004585,0.672504940057244,4.397914,5.083067
SAYSD1,0.0910942709511075,0.679299165567591,0.875373418542533,50.96466,43.09758
PRRT2,0.607734192658735,0.28297207581691,0.605771785522523,25.11636,12.14279
RPL18A,-0.425842061,0.00182797698304495,0.02730976681635,1890.359,2482.723
TUBB2B,-1.102074294,0.0000453174075654364,0.00160528201414488,45.45894,78.29896
PIGW,0.676666385758357,0.283453465494505,0.606086446127695,15.080438,8.236486
BOLA3,0.0583273907638899,0.84588810811945,0.943553399867625,456.118,439.7972
AI467606,-0.096238908,0.531720382790074,0.796588463624934,99.67896,101.02641
BORCS6,0.0144742821761404,0.975646638957237,0.992702068244961,21.77131,16.89489
SHROOM2,0.34466553033897,0.691355720455831,0.880570548492915,17.4528,10.64949
CIRBP,-0.494284098,0.0755945331073775,0.312373609095331,38.94676,48.89135
DPY19L4,0.585117413723989,0.0992015234786407,0.362647270243247,97.52939,69.4455
VCPIP1,0.043316932593394,0.795932007004857,0.924679634464276,60.80494,48.7446
NUDT18,-0.031854523,0.930860006290214,0.976579678268954,30.9499,46.12957
HS6ST1,0.220074998434535,0.311187526407777,0.634665194890009,54.3853,17.69133
BC106179,1.22862907570647,0.234195299360781,0.555300386911825,20.47863,10.67419
EOLA1,0.057927370871083,0.850286113499735,0.944830828422526,38.32838,27.15464
MED26,0.262615897564979,0.47598459211092,0.761701835515196,38.45798,11.90764
